,lcbatch,sortday,MS_Run,celltype,id,channel,sub,Set,well,label,sample.x,sample.y,isoTime,diameter,elongation,slide,field,dropXPos,dropYPos,pickupXPos,pickupYPos,wellAlph,wellNum
1463,A,B,36,u,i1463,Reporter.intensity.5,NA,XwAL00235,K19,5,u,d0,11:24:17 AM,22.08,1.5,3,1,21,56,15,58,K,19
1464,A,B,36,u,i1464,Reporter.intensity.6,NA,XwAL00235,K19,6,u,d0,11:24:25 AM,17.09,1.28,3,1,9,60,15,58,K,19
1465,A,B,36,u,i1465,Reporter.intensity.7,NA,XwAL00235,K19,7,u,d0,11:24:27 AM,19.43,1.49,3,1,13,60,15,58,K,19
1466,A,B,36,u,i1466,Reporter.intensity.8,NA,XwAL00235,K19,8,u,d0,11:24:29 AM,19.07,1.52,3,1,17,60,15,58,K,19
1467,A,B,36,u,i1467,Reporter.intensity.9,NA,XwAL00235,K19,9,u,d0,11:24:30 AM,22.59,1.29,3,1,21,60,15,58,K,19
1468,A,B,36,u,i1468,Reporter.intensity.10,NA,XwAL00235,K19,10,u,d0,11:24:45 AM,19.74,1.91,3,1,11,64,15,58,K,19
1469,A,B,36,u,i1469,Reporter.intensity.11,NA,XwAL00235,K19,11,u,d0,11:24:47 AM,19.39,1.63,3,1,15,64,15,58,K,19
1470,A,B,36,neg,i1470,Reporter.intensity.12,NA,XwAL00235,K19,12,neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1471,A,B,36,m,i1471,Reporter.intensity.13,C1,XwAL00235,K19,13,m,d0,10:42:45 AM,21.49,1.4,3,1,11,52,15,58,K,19
1472,A,B,36,m,i1472,Reporter.intensity.14,C1,XwAL00235,K19,14,m,d0,10:42:47 AM,27.71,1.39,3,1,15,52,15,58,K,19
1473,A,B,36,m,i1473,Reporter.intensity.15,C1,XwAL00235,K19,15,m,d0,10:42:49 AM,22.28,1.46,3,1,19,52,15,58,K,19
1474,A,B,36,m,i1474,Reporter.intensity.16,C1,XwAL00235,K19,16,m,d0,10:43:03 AM,30.13,1.73,3,1,9,56,15,58,K,19
1475,A,B,36,m,i1475,Reporter.intensity.17,C1,XwAL00235,K19,17,m,d0,10:43:04 AM,25,1.71,3,1,13,56,15,58,K,19
1476,A,B,36,m,i1476,Reporter.intensity.18,NA,XwAL00235,K19,18,m,d0,10:43:07 AM,22.32,1.46,3,1,17,56,15,58,K,19
1477,A,B,37,carrier,i1477,Reporter.intensity.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1478,A,B,37,reference,i1478,Reporter.intensity.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1479,A,B,37,unused,i1479,Reporter.intensity.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1480,A,B,37,unused,i1480,Reporter.intensity.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1481,A,B,37,u,i1481,Reporter.intensity.5,NA,XwAL00236,K20,5,u,d0,11:24:31 AM,17.43,1.5,3,1,31,60,37,58,K,20
1482,A,B,37,u,i1482,Reporter.intensity.6,NA,XwAL00236,K20,6,u,d0,11:24:33 AM,18.36,1.38,3,1,35,60,37,58,K,20
1483,A,B,37,u,i1483,Reporter.intensity.7,NA,XwAL00236,K20,7,u,d0,11:24:36 AM,19.39,1.61,3,1,39,60,37,58,K,20
1484,A,B,37,u,i1484,Reporter.intensity.8,NA,XwAL00236,K20,8,u,d0,11:24:37 AM,20.6,1.39,3,1,43,60,37,58,K,20
1485,A,B,37,u,i1485,Reporter.intensity.9,NA,XwAL00236,K20,9,u,d0,11:24:49 AM,18.29,1.45,3,1,33,64,37,58,K,20
1486,A,B,37,u,i1486,Reporter.intensity.10,NA,XwAL00236,K20,10,u,d0,11:24:50 AM,16.77,1.76,3,1,37,64,37,58,K,20
1487,A,B,37,neg,i1487,Reporter.intensity.11,NA,XwAL00236,K20,11,neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1488,A,B,37,m,i1488,Reporter.intensity.12,NA,XwAL00236,K20,12,m,d0,10:42:50 AM,22.44,1.76,3,1,33,52,37,58,K,20
1489,A,B,37,m,i1489,Reporter.intensity.13,C1,XwAL00236,K20,13,m,d0,10:42:53 AM,25.7,1.43,3,1,37,52,37,58,K,20
1490,A,B,37,m,i1490,Reporter.intensity.14,C1,XwAL00236,K20,14,m,d0,10:42:54 AM,28.37,1.44,3,1,41,52,37,58,K,20
1491,A,B,37,m,i1491,Reporter.intensity.15,C1,XwAL00236,K20,15,m,d0,10:43:09 AM,27.05,1.62,3,1,31,56,37,58,K,20
1492,A,B,37,m,i1492,Reporter.intensity.16,C1,XwAL00236,K20,16,m,d0,10:43:11 AM,25.73,1.62,3,1,35,56,37,58,K,20
1493,A,B,37,m,i1493,Reporter.intensity.17,C1,XwAL00236,K20,17,m,d0,10:43:13 AM,25.75,1.59,3,1,39,56,37,58,K,20
1494,A,B,37,u,i1494,Reporter.intensity.18,NA,XwAL00236,K20,18,u,d0,11:24:18 AM,18.26,1.36,3,1,43,56,37,58,K,20
1495,A,B,38,carrier,i1495,Reporter.intensity.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1496,A,B,38,reference,i1496,Reporter.intensity.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1497,A,B,38,unused,i1497,Reporter.intensity.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1498,A,B,38,unused,i1498,Reporter.intensity.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1499,A,B,38,u,i1499,Reporter.intensity.5,NA,XwAL00237,K21,5,u,d0,11:24:41 AM,17.65,1.42,3,1,57,60,59,58,K,21
1500,A,B,38,u,i1500,Reporter.intensity.6,NA,XwAL00237,K21,6,u,d0,11:24:42 AM,21.86,1.56,3,1,61,60,59,58,K,21
1501,A,B,38,u,i1501,Reporter.intensity.7,NA,XwAL00237,K21,7,u,d0,11:24:44 AM,16.84,1.43,3,1,65,60,59,58,K,21
1502,A,B,38,u,i1502,Reporter.intensity.8,NA,XwAL00237,K21,8,u,d0,11:24:52 AM,17.67,1.67,3,1,55,64,59,58,K,21
1503,A,B,38,u,i1503,Reporter.intensity.9,NA,XwAL00237,K21,9,u,d0,11:24:53 AM,16.97,1.44,3,1,59,64,59,58,K,21
1504,A,B,38,neg,i1504,Reporter.intensity.10,NA,XwAL00237,K21,10,neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1505,A,B,38,m,i1505,Reporter.intensity.11,NA,XwAL00237,K21,11,m,d0,10:42:57 AM,23.12,1.47,3,1,55,52,59,58,K,21
1506,A,B,38,m,i1506,Reporter.intensity.12,C1,XwAL00237,K21,12,m,d0,10:42:58 AM,26.62,1.64,3,1,59,52,59,58,K,21
1507,A,B,38,m,i1507,Reporter.intensity.13,C1,XwAL00237,K21,13,m,d0,10:43:01 AM,23.78,1.55,3,1,63,52,59,58,K,21
1508,A,B,38,m,i1508,Reporter.intensity.14,C1,XwAL00237,K21,14,m,d0,10:43:15 AM,25.95,1.57,3,1,53,56,59,58,K,21
1509,A,B,38,m,i1509,Reporter.intensity.15,C1,XwAL00237,K21,15,m,d0,10:43:17 AM,23.29,1.81,3,1,57,56,59,58,K,21
1510,A,B,38,m,i1510,Reporter.intensity.16,NA,XwAL00237,K21,16,m,d0,10:43:19 AM,22.25,1.51,3,1,61,56,59,58,K,21
1511,A,B,38,u,i1511,Reporter.intensity.17,NA,XwAL00237,K21,17,u,d0,11:24:21 AM,17.57,1.29,3,1,65,56,59,58,K,21
1512,A,B,38,u,i1512,Reporter.intensity.18,NA,XwAL00237,K21,18,u,d0,11:24:39 AM,20.91,1.6,3,1,53,60,59,58,K,21
1513,A,B,39,carrier,i1513,Reporter.intensity.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1514,A,B,39,reference,i1514,Reporter.intensity.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
